Data_Collector,Focal_ID,Date,Time_Start,Point_Sample,Nearest_Neighbor,Focal_Number,Point_Behavior,Behavior_Tally,Ad_Libitum,Location,Contact_ID,<1_ID,<5_ID,<10_ID
Laura Angley,ZY,No Date,3:02:52 PM,10,KJ,FS05,SC_KJ/,,EV_SC_MY/,FBR_RK/,KJ/,EV/MY/,,
Laura Angley,ZY,No Date,3:03:24 PM,12,KJ,FS05,SC_KJ/,,EV_SC_MY/,FBR_RK/,KJ/,MY/EV/,,
Laura Angley,ZY,No Date,3:03:54 PM,14,KJ,FS05,SC_KJ/,GRIA_KJ/GRM_KJ/,,FBR_RK/,KJ/,MY/EV/,,
Laura Angley,ZY,No Date,3:05:15 PM,16,KJ,FS05,GRM_KJ/,,MY_GRIA_EV/MY_GRM_EV/,FBR_RK/,KJ/,MY/EV/,,
Laura Angley,ZY,No Date,3:06:27 PM,18,KJ,FS05,SC_KJ/,,EV_GRM_MY/,FBR_RK/,KJ/,MY/EV/,,
Laura Angley,MY,No Date,7:54:33 PM,0,EV,FS06,SC_EV/,,,FBR_RK/,EV/,KJ/ZY/,,
Laura Angley,MY,No Date,7:55:21 PM,2,EV,FS06,SC_EV/,,,FBR_RK/,EV/,KJ/ZY/,,
Laura Angley,MY,No Date,7:55:47 PM,4,EV,FS06,SC_EV/,,,FBR_RK/,EV/,KJ/ZY/,,
Laura Angley,MY,No Date,7:56:30 PM,6,EV,FS06,SC_EV/,,,FBR_RK/,EV/,KJ/ZY/,,
Laura Angley,MY,No Date,7:57:00 PM,8,EV,FS06,SC_EV/,,,FBR_RK/,EV/,KJ/ZY/,,
Laura Angley,MY,No Date,7:57:36 PM,10,EV,FS06,SC_EV/,,,FBR_RK/,EV/,KJ/ZY/,,
Laura Angley,MY,No Date,7:58:11 PM,12,EV,FS06,SC_EV/,,,FBR_RK/,EV/,KJ/ZY/,,
Laura Angley,MY,No Date,7:58:36 PM,14,EV,FS06,SC_EV/,,,FBR_RK/,EV/,KJ/ZY/,,
Laura Angley,MY,No Date,7:59:18 PM,16,EV,FS06,SC_EV/,GTA_EV/GRIA_EV/,,FBR_RK/,EV/,KJ/ZY/,,
Laura Angley,MY,No Date,8:00:11 PM,18,EV,FS06,GRA_EV/,,,FBR_RK/,EV/,KJ/ZY/,,
Laura Angley,EV,No Date,8:01:12 PM,0,MY,FS07,RV/,,,CR_RK/,,MY/,KJ/ZY/,
Laura Angley,EV,No Date,8:01:51 PM,2,MY,FS07,RV/,,,CR_RK/,,MY/,KJ/ZY/,
Laura Angley,EV,No Date,8:02:23 PM,4,MY,FS07,RV/,,MY_SGR/,CR_RK/,,MY/,KJ/ZY/,
Laura Angley,EV,No Date,8:03:03 PM,6,MY,FS07,RV/,,MY_SGR/,CR_RK/,,MY/,KJ/ZY/,
Laura Angley,EV,No Date,8:03:33 PM,8,MY,FS07,RV/,,MY_SGR/,CR_RK/,,MY/,KJ/ZY/,
Laura Angley,EV,No Date,8:04:05 PM,10,MY,FS07,RV/,SGR/,,CR_RK/,,MY/,KJ/ZY/,
Laura Angley,EV,No Date,8:04:38 PM,12,MY,FS07,RV/,APA_MY/APA_KJ/,,CR_RK/,,MY/,KJ/ZY/,
Laura Angley,EV,No Date,8:05:26 PM,14,KJ,FS07,RV/,GTR_KJ/,,CR_BR/,,KJ/,MY/ZY/,
Laura Angley,EV,No Date,8:06:08 PM,16,KJ,FS07,RV/,,,CR_BR/,,KJ/,MY/ZY/,
Laura Angley,EV,No Date,8:06:54 PM,18,KJ,FS07,RV/,,,CR_BR/,,KJ/,MY/,ZY/
Laura Angley,MY,No Date,8:07:42 PM,0,EV,FS08,RV/,,,CR_BR/,,,EV/KJ/,ZY/
Laura Angley,MY,No Date,8:09:32 PM,2,EV,FS08,RV/,,,CR_BR/,,,EV/KJ/,ZY/
Laura Angley,MY,No Date,8:10:09 PM,4,EV,FS08,SGR/,,,CR_BR/,,,EV/KJ/,ZY/
Laura Angley,MY,No Date,8:10:40 PM,6,EV,FS08,RV/,,,CR_BR/,,,EV/KJ/,ZY/
Laura Angley,MY,No Date,8:11:06 PM,8,EV,FS08,RV/,SGR/,ZY_SGR/,CR_BR/,,,EV/KJ/,ZY/
Laura Angley,MY,No Date,8:11:56 PM,10,EV,FS08,MWI/,APA_KJ/SC_KJ/GRIR_KJ/GRR_KJ/GRM_KJ/,,BR_BR/,,KJ/,EV/,ZY/
Laura Angley,MY,No Date,8:13:43 PM,12,KJ,FS08,GRM_KJ/,,,BR_BR/,KJ/,EV/,,ZY/
Laura Angley,MY,No Date,8:14:20 PM,14,KJ,FS08,GRM_KJ/,GREA_KJ/SGR/,,BR_BR/,KJ/,EV/,,ZY/
Laura Angley,MY,No Date,8:15:41 PM,16,KJ,FS08,SC_KJ/,,,BR_BR/,KJ/,EV/,,ZY/
Laura Angley,MY,No Date,8:16:45 PM,18,EV,FS08,RV/,,KJ_SGR/KJ_APA_ZY/ZY_GTR_KJ/,BR_BR/,,EV/,,ZY/KJ/
Laura Angley,KJ,No Date,8:18:06 PM,0,ZY,FS09,APA_ZY/,APA_EV/DPR_EV/,,BR_BR/,,MY/EV/ZY/,,
Laura Angley,KJ,No Date,8:19:46 PM,2,EV,FS09,RV/,MBT/DR/,,FR_BR/,,,EV/MY/,ZY/
Laura Angley,KJ,No Date,8:20:33 PM,4,EV,FS09,DR/,,,FL_RK/,,,,EV/MY/ZY/
Laura Angley,KJ,No Date,8:21:18 PM,6,EV,FS09,RV/,,,CC_BR/,,,EV/MY/,ZY/
Laura Angley,KJ,No Date,8:21:50 PM,8,EV,FS09,RV/,,,CC_BR/,,,EV/MY/,ZY/
Laura Angley,KJ,No Date,8:22:27 PM,10,ZY,FS09,RV/,,,CC_BR/,,,ZY/EV/MY/,
Laura Angley,KJ,No Date,8:23:02 PM,12,ZY,FS09,RV/,,,CC_BR/,,,EV/ZY/MY/,
Laura Angley,KJ,No Date,8:23:31 PM,14,ZY,FS09,RV/,,,CR_BR/,,ZY/,MY/EV/,
Laura Angley,KJ,No Date,8:23:58 PM,16,ZY,FS09,RPO/,,ZY_SGR/,CR_BR/,,ZY/,MY/EV/,
Laura Angley,KJ,No Date,8:24:34 PM,18,ZY,FS09,RPO/,,ZY_SGR/,CR_BR/,,ZY/,MY/EV/,
Laura Angley,ZY,No Date,8:25:58 PM,0,KJ,FS10,RPO/,,EV_APA_MY/EV_GRIA_MY/EV_GRA_MY/EV_GTA_MY/,CR_BR/,,KJ/EV/,MY/,
Laura Angley,ZY,No Date,8:28:17 PM,2,KJ,FS10,RPO/,,EV_GRA_MY/MY_GRA_EV/,CR_BR/,,KJ/EV/,MY/,
Laura Angley,ZY,No Date,8:30:45 PM,4,KJ,FS10,RV/,APA_EV/DPR_EV/,MY_GRA_EV/EV_GREA_MY/,CR_BR/,,KJ/EV/,MY/,
Laura Angley,ZY,No Date,8:31:47 PM,6,KJ,FS10,MBT/,APA_KJ/GTA_KJ/,,CR_BR/,,,KJ/,MY/ZY/
Laura Angley,ZY,No Date,8:32:35 PM,8,KJ,FS10,DR/,,,FL_RK/,,,KJ/,MY/ZY/
